expression,force,flavor,can_express,polarity,syntactically_negated,full_form,notes
-ma-,strong,epistemic,1,positive,no,V-ma-...,Frequently ol-ma-... (be-MOD-...)
-ma-,weak necessity,epistemic,1,positive,no,V-ma-...,
-ma-,weak,epistemic,?,positive,no,V-ma-...,
-ma-,strong,deontic,?,positive,no,V-ma-...,
-ma-,weak necessity,deontic,?,positive,no,V-ma-...,
-ma-,weak,deontic,?,positive,no,V-ma-...,
-ma-,strong,teleological,?,positive,no,V-ma-...,
-ma-,weak necessity,teleological,1,positive,no,V-ma-...,
-ma-,weak,teleological,?,positive,no,V-ma-...,
-ma-,strong,circumstantial,?,positive,no,V-ma-...,
-ma-,weak,circumstantial,?,positive,no,V-ma-...,
-ma-,strong,bouletic,1,positive,no,V-ma-...,
gerek,strong,epistemic,0,positive,no,gerek,
gerek,weak necessity,epistemic,?,positive,no,gerek,
gerek,weak,epistemic,?,positive,no,gerek,
gerek,strong,deontic,1,positive,no,gerek,
gerek,weak necessity,deontic,?,positive,no,gerek,
gerek,weak,deontic,?,positive,no,gerek,
gerek,strong,teleological,1,positive,no,gerek,
gerek,weak necessity,teleological,?,positive,no,gerek,
gerek,weak,teleological,?,positive,no,gerek,
gerek,strong,circumstantial,1,positive,no,gerek,
gerek,weak,circumstantial,?,positive,no,gerek,
gerek,strong,bouletic,1,positive,no,gerek,
şart,strong,epistemic,1,positive,no,şart,
şart,weak necessity,epistemic,?,positive,no,şart,
şart,weak,epistemic,?,positive,no,şart,
şart,strong,deontic,?,positive,no,şart,
şart,weak necessity,deontic,?,positive,no,şart,
şart,weak,deontic,?,positive,no,şart,
şart,strong,teleological,?,positive,no,şart,
şart,weak necessity,teleological,?,positive,no,şart,
şart,weak,teleological,?,positive,no,şart,
şart,strong,circumstantial,?,positive,no,şart,
şart,weak,circumstantial,?,positive,no,şart,
şart,strong,bouletic,?,positive,no,şart,
-dır,strong,epistemic,1,positive,no,-dır,Adjectival suffix
-dır,weak necessity,epistemic,1,positive,no,-dır,
-dır,weak,epistemic,?,positive,no,-dır,
-dır,strong,deontic,?,positive,no,-dır,
-dır,weak necessity,deontic,?,positive,no,-dır,
-dır,weak,deontic,?,positive,no,-dır,
-dır,strong,teleological,?,positive,no,-dır,
-dır,weak necessity,teleological,?,positive,no,-dır,
-dır,weak,teleological,?,positive,no,-dır,
-dır,strong,circumstantial,?,positive,no,-dır,
-dır,weak,circumstantial,?,positive,no,-dır,
-dır,strong,bouletic,?,positive,no,-dır,
lazım,strong,epistemic,0,positive,no,lazım,
lazım,weak necessity,epistemic,?,positive,no,lazım,
lazım,weak,epistemic,?,positive,no,lazım,
lazım,strong,deontic,1,positive,no,lazım,
lazım,weak necessity,deontic,?,positive,no,lazım,
lazım,weak,deontic,?,positive,no,lazım,
lazım,strong,teleological,1,positive,no,lazım,
lazım,weak necessity,teleological,1,positive,no,lazım,"hedged with bence (""I think"")"
lazım,weak,teleological,?,positive,no,lazım,
lazım,strong,circumstantial,1,positive,no,lazım,
lazım,weak,circumstantial,?,positive,no,lazım,
lazım,strong,bouletic,1,positive,no,lazım,
iyi olabilir,strong,epistemic,?,positive,no,V + iyi olabilir,"""would be good if"" paraphrase"
iyi olabilir,weak necessity,epistemic,?,positive,no,V + iyi olabilir,
iyi olabilir,weak,epistemic,?,positive,no,V + iyi olabilir,
iyi olabilir,strong,deontic,?,positive,no,V + iyi olabilir,
iyi olabilir,weak necessity,deontic,1,positive,no,V + iyi olabilir,
iyi olabilir,weak,deontic,?,positive,no,V + iyi olabilir,
iyi olabilir,strong,teleological,?,positive,no,V + iyi olabilir,
iyi olabilir,weak necessity,teleological,?,positive,no,V + iyi olabilir,
iyi olabilir,weak,teleological,?,positive,no,V + iyi olabilir,
iyi olabilir,strong,circumstantial,?,positive,no,V + iyi olabilir,
iyi olabilir,weak,circumstantial,?,positive,no,V + iyi olabilir,
iyi olabilir,strong,bouletic,?,positive,no,V + iyi olabilir,
-abil // -ebil,strong,epistemic,?,positive,no,V-_bil,"_ is either a or e, determined by vowel harmony"
-abil // -ebil,weak necessity,epistemic,?,positive,no,V-_bil,
-abil // -ebil,weak,epistemic,1,positive,no,V-_bil,
-abil // -ebil,strong,deontic,?,positive,no,V-_bil,
-abil // -ebil,weak necessity,deontic,?,positive,no,V-_bil,
-abil // -ebil,weak,deontic,1,positive,no,V-_bil,
-abil // -ebil,strong,teleological,?,positive,no,V-_bil,
-abil // -ebil,weak necessity,teleological,?,positive,no,V-_bil,
-abil // -ebil,weak,teleological,1,positive,no,V-_bil,
-abil // -ebil,strong,circumstantial,?,positive,no,V-_bil,
-abil // -ebil,strong,circumstantial,1,negative,no,V-_bil,
-abil // -ebil,weak,circumstantial,1,positive,no,V-_bil,
-abil // -ebil,strong,bouletic,?,positive,no,V-_bil,
mümkün,strong,epistemic,?,positive,no,clause + mümkün,paraphrase
mümkün,weak necessity,epistemic,?,positive,no,clause + mümkün,
mümkün,weak,epistemic,1,positive,no,clause + mümkün,
mümkün,strong,deontic,?,positive,no,clause + mümkün,
mümkün,weak necessity,deontic,?,positive,no,clause + mümkün,
mümkün,weak,deontic,?,positive,no,clause + mümkün,
mümkün,strong,teleological,?,positive,no,clause + mümkün,
mümkün,weak necessity,teleological,?,positive,no,clause + mümkün,
mümkün,weak,teleological,?,positive,no,clause + mümkün,
mümkün,strong,circumstantial,?,positive,no,clause + mümkün,
mümkün,strong,circumstantial,1,negative,no,clause + mümkün,
mümkün,weak,circumstantial,?,positive,no,clause + mümkün,
mümkün,strong,bouletic,?,positive,no,clause + mümkün,
şart,strong,epistemic,1,negative,below,şart değil,
şart,weak necessity,epistemic,?,negative,below,şart değil,
şart,weak,epistemic,?,negative,below,şart değil,
şart,strong,deontic,?,negative,below,şart değil,
şart,weak necessity,deontic,?,negative,below,şart değil,
şart,weak,deontic,?,negative,below,şart değil,
şart,strong,teleological,?,negative,below,şart değil,
şart,weak necessity,teleological,?,negative,below,şart değil,
şart,weak,teleological,?,negative,below,şart değil,
şart,strong,circumstantial,?,negative,below,şart değil,
şart,weak,circumstantial,?,negative,below,şart değil,
şart,strong,bouletic,?,negative,below,şart değil,
lazım,strong,epistemic,1,negative,below,clause + lazım değil,sentence-final periphrastic
lazım,weak necessity,epistemic,?,negative,below,clause + lazım değil,
lazım,weak,epistemic,?,negative,below,clause + lazım değil,
lazım,strong,deontic,1,negative,below,clause + lazım değil,
lazım,weak necessity,deontic,?,negative,below,clause + lazım değil,
lazım,weak,deontic,?,negative,below,clause + lazım değil,
lazım,strong,teleological,?,negative,below,clause + lazım değil,
lazım,weak necessity,teleological,?,negative,below,clause + lazım değil,
lazım,weak,teleological,?,negative,below,clause + lazım değil,
lazım,strong,circumstantial,?,negative,below,clause + lazım değil,
lazım,weak,circumstantial,?,negative,below,clause + lazım değil,
lazım,strong,bouletic,?,negative,below,clause + lazım değil,
gerek,strong,epistemic,1,negative,below,clause + gerek değil,sentence-final periphrastic
gerek,weak necessity,epistemic,?,negative,below,gerek + NEG,
gerek,weak,epistemic,?,negative,below,gerek + NEG,
gerek,strong,deontic,1,negative,above,[CLAUSE] gerek yok,yok is negative existential rather than negator. Sometimes interchangeable with var. 
gerek,weak necessity,deontic,?,negative,below,gerek + NEG,
gerek,weak,deontic,?,negative,below,gerek + NEG,
gerek,strong,teleological,1,negative,above,[CLAUSE] gerek yok,
gerek,weak necessity,teleological,?,negative,below,gerek + NEG,
gerek,weak,teleological,?,negative,below,gerek + NEG,
gerek,strong,circumstantial,?,negative,below,gerek + NEG,
gerek,weak,circumstantial,?,negative,below,gerek + NEG,
gerek,strong,bouletic,?,negative,below,gerek + NEG,
-abil // -ebil,strong,epistemic,?,negative,below,-ama-(z) ,negative aorist of [-abil/-ebil]
-abil // -ebil,weak necessity,epistemic,?,negative,below,-ama-(z) ,
-abil // -ebil,weak,epistemic,1,negative,below,-ama-(z) ,
-abil // -ebil,strong,deontic,?,negative,below,-ama-(z) ,
-abil // -ebil,weak necessity,deontic,?,negative,below,-ama-(z) ,
-abil // -ebil,weak,deontic,1,negative,below,-ama-(z) ,
-abil // -ebil,strong,teleological,?,negative,below,-ama-(z) ,
-abil // -ebil,weak necessity,teleological,?,negative,below,-ama-(z) ,
-abil // -ebil,weak,teleological,1,negative,below,-ama-(z) ,
-abil // -ebil,strong,circumstantial,?,negative,below,-ama-(z) ,
-abil // -ebil,weak,circumstantial,1,negative,below,-ama-(z) ,
-abil // -ebil,strong,bouletic,?,negative,below,-ama-(z) ,
-abil // -ebil,strong,epistemic,?,negative,below,clause + mümkün değil,paraphrase
mümkün,weak necessity,epistemic,?,negative,below,clause + mümkün değil,
mümkün,weak,epistemic,?,negative,below,clause + mümkün değil,
mümkün,strong,deontic,?,negative,below,clause + mümkün değil,
mümkün,weak necessity,deontic,?,negative,below,clause + mümkün değil,
mümkün,weak,deontic,?,negative,below,clause + mümkün değil,
mümkün,strong,teleological,?,negative,below,clause + mümkün değil,
mümkün,weak necessity,teleological,?,negative,below,clause + mümkün değil,
mümkün,weak,teleological,?,negative,below,clause + mümkün değil,
mümkün,strong,circumstantial,?,negative,below,clause + mümkün değil,
mümkün,weak,circumstantial,1,negative,below,clause + mümkün değil,
mümkün,strong,bouletic,?,negative,below,clause + mümkün değil,
